Company Name,Web URL,Country
Upfield,https://upfield.com/,United Kingdom
Vesuvius PLC,,
Victrex PLC,,
Vietnam Enterprise Investments Ltd.,,
Vinacapital Vietnam Opportunity Fund Ltd,,
Vistry Group PLC (fka Bovis Homes Group PLC),,
Vivo Energy PLC,https://www.vivoenergy.com/,United Kingdom
Walgreens Boots,,
Weir Group PLC,,
Wetherspoon (J D) PLC,,
WH Smith PLC,https://www.whsmithplc.co.uk/,United Kingdom
Whitbread PLC,,United Kingdom
Witan Investment Trust PLC,,
Wizz Air Holdings PLC,,
Wood Group (John) PLC,,
Workspace Group PLC,,
Worldwide Healthcare Trust PLC,,
WPP PLC,https://www.wpp.com/,United Kingdom
XP Power Ltd,,
