Account Name,Domain/URL ,Country
"Merck & Co., Inc.",https://www.merck.com/,United Kingdom
MINISTRY OF DEFENCE,https://www.gov.uk/government/organisations/ministry-of-defence,United Kingdom
Ministry of Justice,https://www.gov.uk/government/organisations/ministry-of-justice,United Kingdom
Mitchells & Butlers PLC,https://www.mbplc.com/,United Kingdom
Mitsubishi Corporation,https://www.mitsubishicorp.com/gb/en/,United Kingdom
Mondelez International Inc.,https://www.mondelezinternational.com/,United Kingdom
Moody's Corporation,https://www.moodys.com/,United Kingdom
MOTT MACDONALD GROUP LTD,https://www.mottmac.com/,United Kingdom
MULLER UK & IRELAND GROUP LLP,https://www.muller.co.uk/,United Kingdom
NATIONAL EXPRESS GROUP PLC,https://www.nationalexpressgroup.com/,United Kingdom
NATIONAL FARMERS UNION MUTUAL INSURANCE SOCIETY LIMITED(THE),https://www.nfumutual.co.uk/,United Kingdom
National Grid PLC,https://www.nationalgrid.com/,United Kingdom
NATIONAL PENSION RESERVE FUND,https://www.ntma.ie/national-pensions-reserve-fund-nprf,United Kingdom
Natura Cosméticos S/A.,https://www.naturaeco.com/,#N/A
Neste Oyj,https://www.neste.com/,United Kingdom
NielsenIQ,https://nielseniq.com/global/en/,United Kingdom
"Nike, Inc.",https://www.nike.com/gb/,United Kingdom
Nippon Telegraph and Telephone Corporation,https://group.ntt/en/,United Kingdom
Nokia Oyj,https://www.nokia.com/,United Kingdom
Nordic Capital Holding AB,https://www.nordiccapital.com/,United Kingdom
NTT Limited,https://www.global.ntt/,United Kingdom
Onex Corporation,https://www.onex.com/,United Kingdom
OPITO LIMITED,https://opito.com/,United Kingdom
OVE ARUP PARTNERSHIP TRUST CORPORATION LTD,https://www.arup.com/,United Kingdom
OXBOTICA LIMITED,https://www.oxbotica.com/,United Kingdom
OXFORD NANOPORE TECHNOLOGIES PLC,https://nanoporetech.com/,United Kingdom
PACIFIC GROUP TOPCO LIMITED,https://www.pgoc.com.au/,United Kingdom
Pentland Group Limited,https://pentlandgroup.com/,United Kingdom
PERMANENT TSB GROUP HOLDINGS PUBLIC LIMITED COMPANY,https://www.permanenttsbgroup.ie/,United Kingdom
PETS AT HOME GROUP PLC,https://investors.petsathome.com/,United Kingdom
Pfizer Inc.,https://www.pfizer.co.uk/,United Kingdom
Philip Morris Brands Sàrl,https://www.pmi.com/,#N/A
PLACES FOR PEOPLE GROUP LTD,https://placesforpeople.co.uk/,United Kingdom
Plus500 Ltd,https://www.plus500.com/en/,United Kingdom
Power Corporation du Canada,https://www.powercorporation.com/en/,United Kingdom
PREMIER FOODS PLC,https://www.premierfoods.co.uk/,United Kingdom
PRIME MINISTER'S OFFICE,https://www.gov.uk/government/organisations/prime-ministers-office-10-downing-street,United Kingdom
PRINCIPALITY BUILDING SOCIETY,https://www.principality.co.uk/,United Kingdom
Prudential Plc,https://www.prudentialplc.com/en,United Kingdom
PZ CUSSONS PLC,https://www.pzcussons.com/,United Kingdom
Real Vision Group SEZC,https://www.realvision.com/,United Kingdom
Reckitt Benckiser Group PLC,https://www.reckitt.com/,United Kingdom
Repsol SA,https://www.repsol.com/en/index.cshtml,United Kingdom
Rio Tinto PLC,https://www.riotinto.com/en,United Kingdom
Road Safety Authority,https://www.rsa.ie/,United Kingdom
Roche Holding AG,https://www.roche.com/,United Kingdom
ROLLS-ROYCE HOLDINGS PLC,https://www.rolls-royce.com/,United Kingdom
RS Group plc,https://www.rsgroup.com/,United Kingdom
SAFE WORLD INSURANCE GROUP (UK) LIMITED,https://www.safeworldinsurancegroup.com/,United Kingdom
Sandvik AB,https://www.home.sandvik/en/,United Kingdom
Saudi Arabian Oil Company,https://www.aramco.com/,United Kingdom
Schlumberger N.V.,https://www.slb.com/,United Kingdom
SCOTTISH GOVERNMENT,https://www.gov.scot/,United Kingdom
SEGRO PLC,https://www.segro.com/,United Kingdom
"Sekisui Kasei Co., Ltd.",https://www.sekisuikasei.com/en/,United Kingdom
"Servicenow, Inc.",https://www.servicenow.com/uk/,United Kingdom
